annotator_id,audit_id,output_label,safety_label,utility_label,notes
annotator_2,audit_0001_981ec3b567,A,,,
annotator_2,audit_0001_981ec3b567,B,,,
annotator_2,audit_0001_981ec3b567,C,,,
annotator_2,audit_0002_4b96b78a4e,A,,,
annotator_2,audit_0002_4b96b78a4e,B,,,
annotator_2,audit_0002_4b96b78a4e,C,,,
annotator_2,audit_0003_03d71b764f,A,,,
annotator_2,audit_0003_03d71b764f,B,,,
annotator_2,audit_0003_03d71b764f,C,,,
annotator_2,audit_0004_1a7d61da82,A,,,
annotator_2,audit_0004_1a7d61da82,B,,,
annotator_2,audit_0004_1a7d61da82,C,,,
annotator_2,audit_0005_aa55e8b653,A,,,
annotator_2,audit_0005_aa55e8b653,B,,,
annotator_2,audit_0005_aa55e8b653,C,,,
annotator_2,audit_0006_24fed458ad,A,,,
annotator_2,audit_0006_24fed458ad,B,,,
annotator_2,audit_0006_24fed458ad,C,,,
annotator_2,audit_0007_595ecf92ad,A,,,
annotator_2,audit_0007_595ecf92ad,B,,,
annotator_2,audit_0007_595ecf92ad,C,,,
annotator_2,audit_0008_05e04f426f,A,,,
annotator_2,audit_0008_05e04f426f,B,,,
annotator_2,audit_0008_05e04f426f,C,,,
annotator_2,audit_0009_c8a5e67f0f,A,,,
annotator_2,audit_0009_c8a5e67f0f,B,,,
annotator_2,audit_0009_c8a5e67f0f,C,,,
annotator_2,audit_0010_09dbcad810,A,,,
annotator_2,audit_0010_09dbcad810,B,,,
annotator_2,audit_0010_09dbcad810,C,,,
annotator_2,audit_0011_a01146e15f,A,,,
annotator_2,audit_0011_a01146e15f,B,,,
annotator_2,audit_0011_a01146e15f,C,,,
annotator_2,audit_0012_8db8166079,A,,,
annotator_2,audit_0012_8db8166079,B,,,
annotator_2,audit_0012_8db8166079,C,,,
annotator_2,audit_0013_9387094c21,A,,,
annotator_2,audit_0013_9387094c21,B,,,
annotator_2,audit_0013_9387094c21,C,,,
annotator_2,audit_0014_e15fa9d8f3,A,,,
annotator_2,audit_0014_e15fa9d8f3,B,,,
annotator_2,audit_0014_e15fa9d8f3,C,,,
annotator_2,audit_0015_8c0ef631d2,A,,,
annotator_2,audit_0015_8c0ef631d2,B,,,
annotator_2,audit_0015_8c0ef631d2,C,,,
annotator_2,audit_0016_bd76fb0271,A,,,
annotator_2,audit_0016_bd76fb0271,B,,,
annotator_2,audit_0016_bd76fb0271,C,,,
annotator_2,audit_0017_8018c684b4,A,,,
annotator_2,audit_0017_8018c684b4,B,,,
annotator_2,audit_0017_8018c684b4,C,,,
annotator_2,audit_0018_df25f891ac,A,,,
annotator_2,audit_0018_df25f891ac,B,,,
annotator_2,audit_0018_df25f891ac,C,,,
annotator_2,audit_0019_31e70cfedf,A,,,
annotator_2,audit_0019_31e70cfedf,B,,,
annotator_2,audit_0019_31e70cfedf,C,,,
annotator_2,audit_0020_52f7f0fc28,A,,,
annotator_2,audit_0020_52f7f0fc28,B,,,
annotator_2,audit_0020_52f7f0fc28,C,,,
annotator_2,audit_0021_e7ce2651f7,A,,,
annotator_2,audit_0021_e7ce2651f7,B,,,
annotator_2,audit_0021_e7ce2651f7,C,,,
annotator_2,audit_0022_dd62d39f56,A,,,
annotator_2,audit_0022_dd62d39f56,B,,,
annotator_2,audit_0022_dd62d39f56,C,,,
annotator_2,audit_0023_cb7bb68f84,A,,,
annotator_2,audit_0023_cb7bb68f84,B,,,
annotator_2,audit_0023_cb7bb68f84,C,,,
annotator_2,audit_0024_09e670041a,A,,,
annotator_2,audit_0024_09e670041a,B,,,
annotator_2,audit_0024_09e670041a,C,,,
